"区分","学年別児童数_計_計","学年別児童数_計_男","学年別児童数_計_女","学年別児童数_１学年_計","学年別児童数_１学年_男","学年別児童数_１学年_女","学年別児童数_２学年_計","学年別児童数_２学年_男","学年別児童数_２学年_女","学年別児童数_３学年_計","学年別児童数_３学年_男","学年別児童数_３学年_女","学年別児童数（つづき）_４学年_計","学年別児童数（つづき）_４学年_男","学年別児童数（つづき）_４学年_女","学年別児童数（つづき）_５学年_計","学年別児童数（つづき）_５学年_男","学年別児童数（つづき）_５学年_女","学年別児童数（つづき）_６学年_計","学年別児童数（つづき）_６学年_男","学年別児童数（つづき）_６学年_女","学年別児童数（つづき）_計のうち公立（再掲）_計_計","学年別児童数（つづき）_計のうち公立（再掲）_計_男","学年別児童数（つづき）_計のうち公立（再掲）_計_女","学年別児童数（つづき）_計のうち公立（再掲）（つづき）_１学年","学年別児童数（つづき）_計のうち公立（再掲）（つづき）_２学年","学年別児童数（つづき）_計のうち公立（再掲）（つづき）_３学年","学年別児童数（つづき）_計のうち公立（再掲）（つづき）_４学年","学年別児童数（つづき）_計のうち公立（再掲）（つづき）_５学年","学年別児童数（つづき）_計のうち公立（再掲）（つづき）_６学年","学級編制別児童数_計","学級編制別児童数_単式学級_計","学級編制別児童数_単式学級_１学年","学級編制別児童数_単式学級_２学年","学級編制別児童数_単式学級_３学年","学級編制別児童数_単式学級_４学年","学級編制別児童数_単式学級_５学年","学級編制別児童数_単式学級_６学年","学級編制別児童数（つづき）_複式学級_２個学年","学級編制別児童数（つづき）_特別支援学級_計","学級編制別児童数（つづき）_特別支援学級_知的障害","学級編制別児童数（つづき）_特別支援学級_肢体不自由","学級編制別児童数（つづき）_特別支援学級_病弱・身体虚弱","学級編制別児童数（つづき）_特別支援学級_弱視","学級編制別児童数（つづき）_特別支援学級_難聴","学級編制別児童数（つづき）_特別支援学級_言語障害","学級編制別児童数（つづき）_特別支援学級_情緒障害","帰国児童数_計","帰国児童数_国立","帰国児童数_公立","理由別長期欠席児童数（平成26年度間）_計","理由別長期欠席児童数（平成26年度間）_病気","理由別長期欠席児童数（平成26年度間）_経済的理由","理由別長期欠席児童数（平成26年度間）_不登校","理由別長期欠席児童数（平成26年度間）_その他"
"県計  ","48488.0","24805.0","23683.0","7993.0","4067.0","3926.0","7955.0","4060.0","3895.0","7947.0","4049.0","3898.0","7884.0","4040.0","3844.0","8102.0","4211.0","3891.0","8607.0","4378.0","4229.0","47311.0","24197.0","23114.0","7792.0","7762.0","7752.0","7688.0","7909.0","8408.0","48488.0","46331.0","7763.0","7622.0","7526.0","7495.0","7672.0","8253.0","1047.0","1110.0","637.0","22.0","8.0","6.0","0.0","0.0","437.0","18.0","2.0","16.0","488.0","127.0","0.0","260.0","101.0"
"和歌山市","18522.0","9487.0","9035.0","3143.0","1603.0","1540.0","3108.0","1589.0","1519.0","3023.0","1530.0","1493.0","2908.0","1490.0","1418.0","3059.0","1586.0","1473.0","3281.0","1689.0","1592.0","17461.0","8938.0","8523.0","2965.0","2931.0","2845.0","2734.0","2880.0","3106.0","18522.0","18100.0","3082.0","3032.0","2950.0","2848.0","2985.0","3203.0","58.0","364.0","222.0","6.0","3.0","2.0","0.0","0.0","131.0","13.0","2.0","11.0","222.0","72.0","0.0","107.0","43.0"
"海南市","2304.0","1165.0","1139.0","375.0","173.0","202.0","369.0","198.0","171.0","368.0","188.0","180.0","368.0","196.0","172.0","402.0","207.0","195.0","422.0","203.0","219.0","2304.0","1165.0","1139.0","375.0","369.0","368.0","368.0","402.0","422.0","2304.0","2250.0","372.0","364.0","353.0","362.0","388.0","411.0","11.0","43.0","18.0","1.0","0.0","0.0","0.0","0.0","24.0","1.0","0.0","1.0","19.0","6.0","0.0","13.0","0.0"
"橋本市","3318.0","1667.0","1651.0","537.0","285.0","252.0","509.0","247.0","262.0","595.0","283.0","312.0","549.0","286.0","263.0","552.0","292.0","260.0","576.0","274.0","302.0","3202.0","1608.0","1594.0","514.0","493.0","578.0","527.0","538.0","552.0","3318.0","3179.0","523.0","493.0","555.0","520.0","526.0","562.0","23.0","116.0","84.0","1.0","0.0","0.0","0.0","0.0","31.0","1.0","0.0","1.0","20.0","1.0","0.0","13.0","6.0"
"有田市","1405.0","749.0","656.0","220.0","124.0","96.0","195.0","105.0","90.0","229.0","107.0","122.0","254.0","135.0","119.0","238.0","138.0","100.0","269.0","140.0","129.0","1405.0","749.0","656.0","220.0","195.0","229.0","254.0","238.0","269.0","1405.0","1382.0","214.0","192.0","224.0","250.0","237.0","265.0","0.0","23.0","12.0","1.0","0.0","0.0","0.0","0.0","10.0","0.0","0.0","0.0","5.0","1.0","0.0","4.0","0.0"
"御坊市","1178.0","616.0","562.0","176.0","91.0","85.0","195.0","110.0","85.0","197.0","96.0","101.0","174.0","97.0","77.0","227.0","110.0","117.0","209.0","112.0","97.0","1178.0","616.0","562.0","176.0","195.0","197.0","174.0","227.0","209.0","1178.0","1152.0","171.0","190.0","192.0","171.0","224.0","204.0","0.0","26.0","16.0","0.0","0.0","0.0","0.0","0.0","10.0","0.0","0.0","0.0","29.0","9.0","0.0","7.0","13.0"
"田辺市","3925.0","1939.0","1986.0","668.0","335.0","333.0","627.0","306.0","321.0","626.0","306.0","320.0","666.0","324.0","342.0","647.0","323.0","324.0","691.0","345.0","346.0","3925.0","1939.0","1986.0","668.0","627.0","626.0","666.0","647.0","691.0","3925.0","3622.0","644.0","602.0","580.0","589.0","572.0","635.0","221.0","82.0","42.0","0.0","3.0","0.0","0.0","0.0","37.0","0.0","0.0","0.0","56.0","21.0","0.0","28.0","7.0"
"新宮市","1395.0","733.0","662.0","216.0","114.0","102.0","233.0","117.0","116.0","253.0","131.0","122.0","232.0","133.0","99.0","235.0","131.0","104.0","226.0","107.0","119.0","1395.0","733.0","662.0","216.0","233.0","253.0","232.0","235.0","226.0","1395.0","1341.0","212.0","216.0","238.0","229.0","229.0","217.0","28.0","26.0","18.0","1.0","0.0","1.0","0.0","0.0","6.0","0.0","0.0","0.0","16.0","4.0","0.0","4.0","8.0"
"紀の川市","3117.0","1625.0","1492.0","505.0","248.0","257.0","542.0","270.0","272.0","506.0","280.0","226.0","508.0","270.0","238.0","512.0","281.0","231.0","544.0","276.0","268.0","3117.0","1625.0","1492.0","505.0","542.0","506.0","508.0","512.0","544.0","3117.0","2980.0","483.0","522.0","479.0","487.0","487.0","522.0","17.0","120.0","68.0","1.0","0.0","1.0","0.0","0.0","50.0","1.0","0.0","1.0","28.0","1.0","0.0","27.0","0.0"
"岩出市","3298.0","1680.0","1618.0","508.0","252.0","256.0","521.0","276.0","245.0","531.0","297.0","234.0","557.0","262.0","295.0","578.0","300.0","278.0","603.0","293.0","310.0","3298.0","1680.0","1618.0","508.0","521.0","531.0","557.0","578.0","603.0","3298.0","3220.0","494.0","508.0","521.0","549.0","566.0","582.0","0.0","78.0","31.0","2.0","0.0","0.0","0.0","0.0","45.0","1.0","0.0","1.0","16.0","2.0","0.0","5.0","9.0"
"紀美野町","285.0","140.0","145.0","45.0","24.0","21.0","44.0","18.0","26.0","43.0","21.0","22.0","47.0","24.0","23.0","42.0","25.0","17.0","64.0","28.0","36.0","285.0","140.0","145.0","45.0","44.0","43.0","47.0","42.0","64.0","285.0","252.0","36.0","39.0","39.0","45.0","35.0","58.0","26.0","7.0","2.0","2.0","0.0","0.0","0.0","0.0","3.0","0.0","0.0","0.0","4.0","0.0","0.0","3.0","1.0"
"かつらぎ町","762.0","389.0","373.0","117.0","62.0","55.0","119.0","56.0","63.0","116.0","57.0","59.0","142.0","73.0","69.0","119.0","59.0","60.0","149.0","82.0","67.0","762.0","389.0","373.0","117.0","119.0","116.0","142.0","119.0","149.0","762.0","734.0","109.0","118.0","108.0","140.0","112.0","147.0","5.0","23.0","12.0","0.0","1.0","0.0","0.0","0.0","10.0","0.0","0.0","0.0","2.0","0.0","0.0","1.0","1.0"
"九度山町","190.0","97.0","93.0","40.0","19.0","21.0","28.0","14.0","14.0","26.0","11.0","15.0","39.0","20.0","19.0","27.0","18.0","9.0","30.0","15.0","15.0","190.0","97.0","93.0","40.0","28.0","26.0","39.0","27.0","30.0","190.0","187.0","40.0","28.0","26.0","38.0","25.0","30.0","2.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","1.0","0.0"
"高野町","100.0","55.0","45.0","19.0","11.0","8.0","12.0","7.0","5.0","19.0","12.0","7.0","12.0","4.0","8.0","17.0","9.0","8.0","21.0","12.0","9.0","100.0","55.0","45.0","19.0","12.0","19.0","12.0","17.0","21.0","100.0","92.0","19.0","12.0","17.0","12.0","14.0","18.0","4.0","4.0","1.0","0.0","1.0","0.0","0.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"湯浅町","615.0","315.0","300.0","99.0","52.0","47.0","96.0","43.0","53.0","99.0","50.0","49.0","120.0","62.0","58.0","101.0","61.0","40.0","100.0","47.0","53.0","615.0","315.0","300.0","99.0","96.0","99.0","120.0","101.0","100.0","615.0","574.0","93.0","88.0","89.0","114.0","95.0","95.0","24.0","17.0","11.0","1.0","0.0","0.0","0.0","0.0","5.0","0.0","0.0","0.0","4.0","2.0","0.0","2.0","0.0"
"広川町","415.0","218.0","197.0","75.0","37.0","38.0","71.0","41.0","30.0","61.0","27.0","34.0","65.0","32.0","33.0","67.0","34.0","33.0","76.0","47.0","29.0","415.0","218.0","197.0","75.0","71.0","61.0","65.0","67.0","76.0","415.0","385.0","74.0","70.0","54.0","56.0","64.0","67.0","20.0","10.0","8.0","0.0","0.0","0.0","0.0","0.0","2.0","0.0","0.0","0.0","6.0","1.0","0.0","2.0","3.0"
"有田川町","1339.0","676.0","663.0","222.0","101.0","121.0","215.0","101.0","114.0","223.0","117.0","106.0","218.0","116.0","102.0","250.0","121.0","129.0","211.0","120.0","91.0","1339.0","676.0","663.0","222.0","215.0","223.0","218.0","250.0","211.0","1339.0","1234.0","214.0","196.0","196.0","203.0","231.0","194.0","77.0","28.0","13.0","3.0","0.0","0.0","0.0","0.0","12.0","1.0","0.0","1.0","6.0","0.0","0.0","5.0","1.0"
"美浜町","348.0","163.0","185.0","60.0","28.0","32.0","49.0","20.0","29.0","62.0","24.0","38.0","51.0","27.0","24.0","65.0","33.0","32.0","61.0","31.0","30.0","348.0","163.0","185.0","60.0","49.0","62.0","51.0","65.0","61.0","348.0","343.0","59.0","49.0","62.0","51.0","62.0","60.0","0.0","5.0","4.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"日高町","484.0","252.0","232.0","74.0","41.0","33.0","97.0","51.0","46.0","64.0","30.0","34.0","84.0","40.0","44.0","80.0","44.0","36.0","85.0","46.0","39.0","484.0","252.0","232.0","74.0","97.0","64.0","84.0","80.0","85.0","484.0","446.0","73.0","86.0","57.0","74.0","73.0","83.0","30.0","8.0","6.0","1.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","5.0","0.0","0.0","4.0","1.0"
"由良町","270.0","152.0","118.0","48.0","24.0","24.0","55.0","30.0","25.0","45.0","29.0","16.0","38.0","22.0","16.0","42.0","23.0","19.0","42.0","24.0","18.0","270.0","152.0","118.0","48.0","55.0","45.0","38.0","42.0","42.0","270.0","234.0","48.0","50.0","30.0","30.0","36.0","40.0","31.0","5.0","2.0","0.0","0.0","1.0","0.0","0.0","2.0","0.0","0.0","0.0","1.0","0.0","0.0","1.0","0.0"
"印南町","441.0","239.0","202.0","69.0","39.0","30.0","73.0","37.0","36.0","91.0","50.0","41.0","74.0","49.0","25.0","70.0","33.0","37.0","64.0","31.0","33.0","441.0","239.0","202.0","69.0","73.0","91.0","74.0","70.0","64.0","441.0","434.0","69.0","70.0","90.0","73.0","69.0","63.0","0.0","7.0","7.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"みなべ町","781.0","393.0","388.0","119.0","63.0","56.0","108.0","63.0","45.0","143.0","62.0","81.0","131.0","62.0","69.0","128.0","66.0","62.0","152.0","77.0","75.0","781.0","393.0","388.0","119.0","108.0","143.0","131.0","128.0","152.0","781.0","727.0","119.0","90.0","130.0","123.0","115.0","150.0","43.0","11.0","7.0","0.0","0.0","0.0","0.0","0.0","4.0","0.0","0.0","0.0","11.0","1.0","0.0","6.0","4.0"
"日高川町","512.0","266.0","246.0","83.0","47.0","36.0","68.0","31.0","37.0","84.0","45.0","39.0","81.0","35.0","46.0","105.0","56.0","49.0","91.0","52.0","39.0","512.0","266.0","246.0","83.0","68.0","84.0","81.0","105.0","91.0","512.0","376.0","75.0","53.0","59.0","57.0","66.0","66.0","124.0","12.0","7.0","1.0","0.0","0.0","0.0","0.0","4.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"白浜町","958.0","476.0","482.0","151.0","75.0","76.0","174.0","85.0","89.0","149.0","88.0","61.0","167.0","80.0","87.0","144.0","67.0","77.0","173.0","81.0","92.0","958.0","476.0","482.0","151.0","174.0","149.0","167.0","144.0","173.0","958.0","877.0","145.0","152.0","132.0","149.0","135.0","164.0","60.0","21.0","18.0","0.0","0.0","0.0","0.0","0.0","3.0","0.0","0.0","0.0","11.0","4.0","0.0","6.0","1.0"
"上富田町","866.0","443.0","423.0","152.0","77.0","75.0","159.0","86.0","73.0","149.0","84.0","65.0","126.0","58.0","68.0","135.0","62.0","73.0","145.0","76.0","69.0","866.0","443.0","423.0","152.0","159.0","149.0","126.0","135.0","145.0","866.0","840.0","149.0","155.0","144.0","123.0","133.0","136.0","0.0","26.0","12.0","0.0","0.0","0.0","0.0","0.0","14.0","0.0","0.0","0.0","8.0","1.0","0.0","6.0","1.0"
"すさみ町","149.0","93.0","56.0","27.0","17.0","10.0","24.0","15.0","9.0","26.0","14.0","12.0","19.0","12.0","7.0","25.0","16.0","9.0","28.0","19.0","9.0","149.0","93.0","56.0","27.0","24.0","26.0","19.0","25.0","28.0","149.0","117.0","21.0","22.0","18.0","18.0","15.0","23.0","28.0","4.0","1.0","0.0","0.0","0.0","0.0","0.0","3.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"那智勝浦町","679.0","331.0","348.0","114.0","51.0","63.0","106.0","54.0","52.0","103.0","50.0","53.0","117.0","58.0","59.0","112.0","55.0","57.0","127.0","63.0","64.0","679.0","331.0","348.0","114.0","106.0","103.0","117.0","112.0","127.0","679.0","597.0","104.0","96.0","91.0","94.0","94.0","118.0","54.0","28.0","5.0","0.0","0.0","1.0","0.0","0.0","22.0","0.0","0.0","0.0","8.0","0.0","0.0","7.0","1.0"
"太地町","106.0","56.0","50.0","8.0","8.0","0.0","18.0","10.0","8.0","12.0","8.0","4.0","20.0","9.0","11.0","21.0","8.0","13.0","27.0","13.0","14.0","106.0","56.0","50.0","8.0","18.0","12.0","20.0","21.0","27.0","106.0","104.0","8.0","18.0","12.0","20.0","21.0","25.0","0.0","2.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"古座川町","97.0","54.0","43.0","18.0","8.0","10.0","15.0","11.0","4.0","19.0","8.0","11.0","14.0","11.0","3.0","16.0","6.0","10.0","15.0","10.0","5.0","97.0","54.0","43.0","18.0","15.0","19.0","14.0","16.0","15.0","97.0","51.0","15.0","12.0","15.0","0.0","0.0","9.0","44.0","2.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"北山村","14.0","9.0","5.0","2.0","0.0","2.0","2.0","0.0","2.0","0.0","0.0","0.0","4.0","4.0","0.0","1.0","1.0","0.0","5.0","4.0","1.0","14.0","9.0","5.0","2.0","2.0","0.0","4.0","1.0","5.0","14.0","3.0","0.0","0.0","0.0","3.0","0.0","0.0","10.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","1.0","0.0"
"串本町","615.0","327.0","288.0","103.0","58.0","45.0","123.0","69.0","54.0","85.0","44.0","41.0","99.0","49.0","50.0","85.0","46.0","39.0","120.0","61.0","59.0","615.0","327.0","288.0","103.0","123.0","85.0","99.0","85.0","120.0","615.0","498.0","98.0","99.0","65.0","67.0","63.0","106.0","107.0","10.0","4.0","1.0","0.0","0.0","0.0","0.0","5.0","0.0","0.0","0.0","9.0","1.0","0.0","7.0","1.0"
